pH,N,P,K,OC,Fe,Rainfall,Temperature,Humidity,Min PPH,Already Grown,Season_Kharif,Season_Rabi,Season_Whole year,Crop_Arhar,Crop_Bajra,Crop_Cotton,Crop_Gram,Crop_Groundnut,Crop_Jowar,Crop_Maize,Crop_Moong,Crop_Mustard,Crop_Nigerseed,Crop_Ragi,Crop_Rice,Crop_Safflower,Crop_Sesamum,Crop_Soyabean,Crop_Sugarcane,Crop_Sunflower,Crop_Urad,Crop_Wheat
7.679,155.208,31.756,592.859,0.522,3.68,692.426,26.315,72.398,10137.775,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,529.087,26.983,68.432,11080.067,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,486.718,26.796,69.279,10704.906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,496.948,26.847,69.265,8732.208,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,638.5,27.646,64.286,9916.793,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,650.1,26.833,66.886,13604.807,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,846.3,26.555,73.465,16405.573,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,801.8,26.446,73.57,13638.004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,618.4,27.569,60.335,11570.976,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,607.2,26.191,71.451,14029.937,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,592.4,27.381,64.979,4687.264,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,968.0,26.072,78.232,16743.831,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,658.4,27.51,63.844,19913.536,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,526.6,27.233,65.173,14523.235,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,839.6,25.693,77.795,30171.148,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,413.0,25.85,80.056,13170.282,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,877.306,28.475,66.57,6968.941,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,937.68,29.154,63.681,11520.532,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1145.355,27.901,69.815,15735.537,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,920.786,27.952,68.535,15979.746,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1163.239,28.094,66.962,21493.976,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,986.791,28.421,67.2,15847.702,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,973.8,28.346,65.769,19712.345,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,700.8,27.96,73.202,14600.154,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1128.8,27.809,73.653,13471.437,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1118.6,29.367,57.417,9795.966,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1103.6,27.455,72.292,15200.398,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,801.7,29.106,62.397,16178.808,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,701.8,27.29,79.666,10321.59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1266.4,29.285,60.959,28645.055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,902.1,28.901,62.979,29381.057,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1066.1,26.765,80.529,40050.016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,1493.5,26.983,82.337,28445.939,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.029,353.007,32.019,457.092,0.509,6.728,834.8,28.433,65.45,20848.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,574.782,26.51,71.347,8922.47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,781.034,27.884,64.566,13522.744,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,851.161,26.392,71.548,14345.222,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,475.908,27.286,66.794,11618.252,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,401.794,26.907,68.133,16243.132,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,626.574,26.643,71.556,13531.862,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,973.8,27.015,66.067,16320.407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,700.8,27.832,63.419,14657.82,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1128.8,26.951,66.193,9724.141,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1118.6,26.65,73.292,13128.499,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1103.6,26.531,73.404,17480.332,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,801.7,27.749,59.189,14741.655,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,701.8,26.255,71.102,20747.276,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1266.4,27.545,64.16,16951.162,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,902.1,26.126,78.463,19305.913,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1066.1,27.685,62.945,19051.418,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,1493.5,27.384,64.365,31589.377,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.728,298.268,15.905,475.047,0.527,4.231,834.8,25.716,77.984,17411.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,821.759,28.445,66.031,7492.718,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,974.975,29.008,63.917,8944.389,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,983.112,27.764,69.798,14503.205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1012.79,27.818,69.047,11850.962,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1053.312,27.992,67.451,17821.675,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,870.089,28.254,67.232,8589.727,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,973.8,26.832,82.091,15821.186,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,700.8,28.165,65.995,10210.041,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1128.8,29.126,62.251,7924.545,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1118.6,28.089,66.216,8091.243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1103.6,27.735,73.633,12162.456,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,801.7,27.595,73.943,16688.565,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,701.8,29.028,58.313,21000.637,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1266.4,27.27,72.144,26182.933,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,902.1,28.788,63.37,25531.915,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1066.1,27.118,79.648,52654.798,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,1493.5,28.952,62.004,39020.265,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.229,292.591,37.798,505.546,0.476,7.61,834.8,28.599,63.799,28395.62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,1271.991,26.307,71.195,10413.899,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,1143.334,27.2,67.564,7852.326,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,1024.92,26.156,72.478,9957.193,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,771.693,26.586,71.829,10243.721,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,790.261,26.015,74.534,10441.633,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,739.984,26.408,72.545,7979.247,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,734.9,25.124,81.652,12297.55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,860.1,25.285,84.055,11820.154,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,1092.3,26.362,69.708,9699.021,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,1159.0,27.139,66.978,10781.762,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,910.7,26.301,69.843,14297.909,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,810.8,26.014,76.891,13940.959,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,779.8,25.902,77.017,7927.831,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,914.8,27.059,62.793,27088.73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,819.8,25.639,74.793,20328.303,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,638.2,26.866,67.749,17734.998,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,939.3,25.516,82.054,37261.573,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.854,220.392,20.47,484.549,0.497,4.866,721.1,26.998,66.527,25348.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,748.865,29.05,64.757,7167.47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,907.387,29.529,62.798,11230.103,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,982.442,28.298,68.761,16389.681,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,992.031,28.39,67.636,15765.46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,1052.107,28.45,67.251,21447.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,831.015,28.731,66.556,15781.836,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,973.8,29.025,63.309,19866.246,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,700.8,27.118,78.725,14445.71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,1128.8,27.311,80.913,13739.93,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,1118.6,28.607,65.361,9821.463,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.944,297.215,36.083,362.057,0.476,8.023,1103.6,29.541,61.887,15238.025,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
